newsgroup,id,text
alt.atheism,54256,From: salem@pangea.Stanford.EDU (Bruce Salem)
alt.atheism,54256,Subject: Re: Science and theories
alt.atheism,54256,Organization: Stanford Univ. Earth Sciences
alt.atheism,54256,Lines: 42
alt.atheism,54256,NNTP-Posting-Host: pangea.stanford.edu
alt.atheism,54256,
alt.atheism,54256,In article <C5u7Bq.J43@news.cso.uiuc.edu> cobb@alexia.lis.uiuc.edu (Mike Cobb) writes:
alt.atheism,54256,">As per various threads on science and creationism, I've started dabbling into a"
alt.atheism,54256,>book called Christianity and the Nature of Science by JP Moreland. 
alt.atheism,54256,
alt.atheism,54256,"	As I don't know this book, I will use your heresay."
alt.atheism,54256,
alt.atheism,54256,> A question
alt.atheism,54256,>that I had come from one of his comments.  He stated that God is not 
alt.atheism,54256,">necessarily a religious term, but could be used as other scientific terms that"
alt.atheism,54256,">give explanation for events or theories, without being a proven scientific "
alt.atheism,54256,>fact.
alt.atheism,54256,
alt.atheism,54256,	It depends on how he defines God. The way I understand the meaning
alt.atheism,54256,of that term preclues it being used in a useful way in science. Ideas drawn
alt.atheism,54256,from an understanding that God is supernatural precludes us from forming
alt.atheism,54256,"scientific assertions that can be falsified, that is, where we can decide"
alt.atheism,54256,that they are true or false within the terms of we use and useful observations
alt.atheism,54256,drawn from them.
alt.atheism,54256,
alt.atheism,54256,	Some religionists have an interest in bluring the definitions within
alt.atheism,54256,"science to make them more reconcilable, and especially subserviant in a basic"
alt.atheism,54256,"way, to religious dogma. This pursuit always fails."
alt.atheism,54256,
alt.atheism,54256,>  I think I got his point -- I can quote the section if I'm being vague. 
alt.atheism,54256,>The examples he gave were quarks and continental plates.  Are there 
alt.atheism,54256,>explanations of science or parts of theories that are not measurable in and of
alt.atheism,54256,">themselves, or can everything be quantified, measured, tested, etc.?  "
alt.atheism,54256,
alt.atheism,54256,	Reconciliation of science with religion involves circumventing the
alt.atheism,54256,"tendancy to claim that either pursuit can gain absolute or certian knowledge,"
alt.atheism,54256,or that the domain of truth in each is fundementally limited in some way. It
alt.atheism,54256,gererally confurs the element of uncertainty and limitations to human knowledge
alt.atheism,54256,while allowing for the different concerns of these separate pursuits. Science
alt.atheism,54256,and religion ask different questions which have imperfect and provisional
alt.atheism,54256,"answers, at best. Science is distinctly limited in where it can ask meaningful"
alt.atheism,54256,questions. More questions can be posed than it can answer. At the basis of
alt.atheism,54256,sacred language is the place where words fail us and mere assertions disolve
alt.atheism,54256,in contradiction.
alt.atheism,54256,
alt.atheism,54256,Bruce Salem
alt.atheism,54256,
alt.atheism,54256,
alt.atheism,54257,From: mangoe@cs.umd.edu (Charley Wingate)
alt.atheism,54257,Subject: Re: A Little Too Satanic
alt.atheism,54257,Lines: 26
alt.atheism,54257,
alt.atheism,54257,Jon Livesey writes:
alt.atheism,54257,
alt.atheism,54257,">So when they took the time to *copy* *the* *text* correctly, that includes"
alt.atheism,54257,">""obvious corruptions?"""
alt.atheism,54257,
alt.atheism,54257,"Well, yes.  This is the real mystery of the matter, and why I am rather"
alt.atheism,54257,dubious of a lot of the source theories.
alt.atheism,54257,
alt.atheism,54257,There are a number of places where the Masoretic Text (MT) of the OT is
alt.atheism,54257,obscure and presumably corrupted.  These are reproduced exactly from copy to
alt.atheism,54257,"copy.  The DSS tend to reflect the same ""errors"".  This would appear to tell"
alt.atheism,54257,"us that, at least from some point, people began to copy the texts very"
alt.atheism,54257,"exactingly and mechanically.  The problem is, we don't know what they did"
alt.atheism,54257,before that.  But it seems as though accurate transmission begins at the
alt.atheism,54257,point at which the texts are perceived as texts.  They may be added to (and
alt.atheism,54257,"in some situations, such as the end of Mark, material is lost), but for the"
alt.atheism,54257,most part there are no substantial changes to the existing text.
alt.atheism,54257,
alt.atheism,54257,You're basically trying to make a mountain out of a molehill.  Some people
alt.atheism,54257,"like to use the game of ""telephone"" as a metaphor for the transmission of"
alt.atheism,54257,the texts.  This clearly wrong.  The texts are transmitted accurately.
alt.atheism,54257,-- 
alt.atheism,54257,"C. Wingate        + ""The peace of God, it is no peace,"
alt.atheism,54257,                  +    but strife closed in the sod.
alt.atheism,54257,"mangoe@cs.umd.edu +  Yet, brothers, pray for but one thing:"
alt.atheism,54257,"tove!mangoe       +    the marv'lous peace of God."""
alt.atheism,54258,From: Alan.Olsen@p17.f40.n105.z1.fidonet.org (Alan Olsen)
alt.atheism,54258,Subject: Albert Sabin
alt.atheism,54258,Lines: 275
alt.atheism,54258,
alt.atheism,54258,
alt.atheism,54258,
alt.atheism,54258,BR> From: wpr@atlanta.dg.com (Bill Rawlins)
alt.atheism,54258,BR> Newsgroups: alt.atheism
alt.atheism,54258,"BR> Organization: DGSID, Atlanta, GA"
alt.atheism,54258,
alt.atheism,54258,"BR>        Since you have referred to the Messiah, I assume you"
alt.atheism,54258,BR> are referring         to the New Testament.  Please detail
alt.atheism,54258,BR> your complaints or e-mail if         you don't want to post.
alt.atheism,54258,BR>  First-century Greek is well-known and        
alt.atheism,54258,"BR> well-understood.  Have you considered Josephus, the Jewish"
alt.atheism,54258,"BR> Historian,         who also wrote of Jesus?  In addition,"
alt.atheism,54258,BR> the four gospel accounts		 are very much in harmony.
alt.atheism,54258,
alt.atheism,54258,It is also well known that the comments in Josephus relating to Jesus were
alt.atheism,54258,inserted (badly) by later editors.  As for the four gospels being in harmony
alt.atheism,54258,on the issue of Jesus...  You know not of what you speak.  Here are a few
alt.atheism,54258,contradictions starting with the trial and continuing through the assension.
alt.atheism,54258,
alt.atheism,54258,>The death of Judas after the betrayal of Jesus
alt.atheism,54258,
