"","Data Series","Time","Exports"
"1","Total Merchandise Exports (Thousand Dollars)","2022 Jan",54929654
"2","Total Merchandise Exports (Thousand Dollars)","2021 Dec",59213794
"3","Total Merchandise Exports (Thousand Dollars)","2021 Nov",56720130
"4","Total Merchandise Exports (Thousand Dollars)","2021 Oct",53639342
"5","Total Merchandise Exports (Thousand Dollars)","2021 Sep",52034038
"6","Total Merchandise Exports (Thousand Dollars)","2021 Aug",52038522
"7","Total Merchandise Exports (Thousand Dollars)","2021 Jul",49834010
"8","Total Merchandise Exports (Thousand Dollars)","2021 Jun",49618994
"9","Total Merchandise Exports (Thousand Dollars)","2021 May",47355225
"10","Total Merchandise Exports (Thousand Dollars)","2021 Apr",50591895
"11","Total Merchandise Exports (Thousand Dollars)","2021 Mar",55444082
"12","Total Merchandise Exports (Thousand Dollars)","2021 Feb",42602227
"13","Total Merchandise Exports (Thousand Dollars)","2021 Jan",44988833
"14","Total Merchandise Exports (Thousand Dollars)","2020 Dec",46246876
"15","Total Merchandise Exports (Thousand Dollars)","2020 Nov",43291938
"16","Total Merchandise Exports (Thousand Dollars)","2020 Oct",44088350
"17","Total Merchandise Exports (Thousand Dollars)","2020 Sep",43907435
"18","Total Merchandise Exports (Thousand Dollars)","2020 Aug",44333640
"19","Total Merchandise Exports (Thousand Dollars)","2020 Jul",42892684
"20","Total Merchandise Exports (Thousand Dollars)","2020 Jun",40640766
"21","Total Merchandise Exports (Thousand Dollars)","2020 May",36482259
"22","Total Merchandise Exports (Thousand Dollars)","2020 Apr",39946596
"23","Total Merchandise Exports (Thousand Dollars)","2020 Mar",45800019
"24","Total Merchandise Exports (Thousand Dollars)","2020 Feb",43512320
"25","Total Merchandise Exports (Thousand Dollars)","2020 Jan",44501656
"26","Total Merchandise Exports (Thousand Dollars)","2019 Dec",45063716
"27","Total Merchandise Exports (Thousand Dollars)","2019 Nov",45758743
"28","Total Merchandise Exports (Thousand Dollars)","2019 Oct",46828474
"29","Total Merchandise Exports (Thousand Dollars)","2019 Sep",43494319
"30","Total Merchandise Exports (Thousand Dollars)","2019 Aug",45157925
"31","Total Merchandise Exports (Thousand Dollars)","2019 Jul",45390949
"32","Total Merchandise Exports (Thousand Dollars)","2019 Jun",41424050
"33","Total Merchandise Exports (Thousand Dollars)","2019 May",46631547
"34","Total Merchandise Exports (Thousand Dollars)","2019 Apr",44138798
"35","Total Merchandise Exports (Thousand Dollars)","2019 Mar",44232102
"36","Total Merchandise Exports (Thousand Dollars)","2019 Feb",39862596
"37","Total Merchandise Exports (Thousand Dollars)","2019 Jan",44530898
"38","Total Merchandise Exports (Thousand Dollars)","2018 Dec",43492397
"39","Total Merchandise Exports (Thousand Dollars)","2018 Nov",48699986
"40","Total Merchandise Exports (Thousand Dollars)","2018 Oct",51656381
"41","Total Merchandise Exports (Thousand Dollars)","2018 Sep",45850324
"42","Total Merchandise Exports (Thousand Dollars)","2018 Aug",50448644
"43","Total Merchandise Exports (Thousand Dollars)","2018 Jul",48306776
"44","Total Merchandise Exports (Thousand Dollars)","2018 Jun",45693748
"45","Total Merchandise Exports (Thousand Dollars)","2018 May",48359712
"46","Total Merchandise Exports (Thousand Dollars)","2018 Apr",44492111
"47","Total Merchandise Exports (Thousand Dollars)","2018 Mar",45602187
"48","Total Merchandise Exports (Thousand Dollars)","2018 Feb",38936317
"49","Total Merchandise Exports (Thousand Dollars)","2018 Jan",44126494
"50","America (Million Dollars)","2022 Jan",6652.9
