,Country,Time,Value (Thousand),Year,Month,Type
2447,Afghanistan ,2018 Apr,1959,2018,Apr,Export
2443,Afghanistan ,2018 Aug,2013,2018,Aug,Export
2439,Afghanistan ,2018 Dec,3671,2018,Dec,Export
2449,Afghanistan ,2018 Feb,2432,2018,Feb,Export
2450,Afghanistan ,2018 Jan,2581,2018,Jan,Export
2444,Afghanistan ,2018 Jul,1253,2018,Jul,Export
2445,Afghanistan ,2018 Jun,1275,2018,Jun,Export
2448,Afghanistan ,2018 Mar,3582,2018,Mar,Export
2446,Afghanistan ,2018 May,2892,2018,May,Export
2440,Afghanistan ,2018 Nov,4427,2018,Nov,Export
2441,Afghanistan ,2018 Oct,3202,2018,Oct,Export
2442,Afghanistan ,2018 Sep,1326,2018,Sep,Export
2435,Afghanistan ,2019 Apr,2108,2019,Apr,Export
2431,Afghanistan ,2019 Aug,4090,2019,Aug,Export
2427,Afghanistan ,2019 Dec,5070,2019,Dec,Export
2437,Afghanistan ,2019 Feb,1941,2019,Feb,Export
2438,Afghanistan ,2019 Jan,1919,2019,Jan,Export
2432,Afghanistan ,2019 Jul,2820,2019,Jul,Export
2433,Afghanistan ,2019 Jun,1148,2019,Jun,Export
2436,Afghanistan ,2019 Mar,5866,2019,Mar,Export
2434,Afghanistan ,2019 May,3509,2019,May,Export
2428,Afghanistan ,2019 Nov,6804,2019,Nov,Export
2429,Afghanistan ,2019 Oct,4727,2019,Oct,Export
2430,Afghanistan ,2019 Sep,4975,2019,Sep,Export
2423,Afghanistan ,2020 Apr,1771,2020,Apr,Export
2419,Afghanistan ,2020 Aug,993,2020,Aug,Export
2415,Afghanistan ,2020 Dec,877,2020,Dec,Export
2425,Afghanistan ,2020 Feb,2199,2020,Feb,Export
2426,Afghanistan ,2020 Jan,3606,2020,Jan,Export
2420,Afghanistan ,2020 Jul,2656,2020,Jul,Export
2421,Afghanistan ,2020 Jun,1752,2020,Jun,Export
2424,Afghanistan ,2020 Mar,5293,2020,Mar,Export
2422,Afghanistan ,2020 May,3709,2020,May,Export
2416,Afghanistan ,2020 Nov,648,2020,Nov,Export
2417,Afghanistan ,2020 Oct,967,2020,Oct,Export
2418,Afghanistan ,2020 Sep,2796,2020,Sep,Export
