"","Data Series","Time","Imports"
"1","Total Merchandise Imports (Thousand Dollars)","2022 Jan",50088749
"2","Total Merchandise Imports (Thousand Dollars)","2021 Dec",54349357
"3","Total Merchandise Imports (Thousand Dollars)","2021 Nov",50674908
"4","Total Merchandise Imports (Thousand Dollars)","2021 Oct",47945213
"5","Total Merchandise Imports (Thousand Dollars)","2021 Sep",45980374
"6","Total Merchandise Imports (Thousand Dollars)","2021 Aug",44714491
"7","Total Merchandise Imports (Thousand Dollars)","2021 Jul",46107788
"8","Total Merchandise Imports (Thousand Dollars)","2021 Jun",45039845
"9","Total Merchandise Imports (Thousand Dollars)","2021 May",41559697
"10","Total Merchandise Imports (Thousand Dollars)","2021 Apr",45169547
"11","Total Merchandise Imports (Thousand Dollars)","2021 Mar",47668437
"12","Total Merchandise Imports (Thousand Dollars)","2021 Feb",37643664
"13","Total Merchandise Imports (Thousand Dollars)","2021 Jan",39028616
"14","Total Merchandise Imports (Thousand Dollars)","2020 Dec",40154550
"15","Total Merchandise Imports (Thousand Dollars)","2020 Nov",38477878
"16","Total Merchandise Imports (Thousand Dollars)","2020 Oct",38173829
"17","Total Merchandise Imports (Thousand Dollars)","2020 Sep",38801413
"18","Total Merchandise Imports (Thousand Dollars)","2020 Aug",36472279
"19","Total Merchandise Imports (Thousand Dollars)","2020 Jul",37843646
"20","Total Merchandise Imports (Thousand Dollars)","2020 Jun",35120892
"21","Total Merchandise Imports (Thousand Dollars)","2020 May",31458238
"22","Total Merchandise Imports (Thousand Dollars)","2020 Apr",35878828
"23","Total Merchandise Imports (Thousand Dollars)","2020 Mar",40433029
"24","Total Merchandise Imports (Thousand Dollars)","2020 Feb",39472637
"25","Total Merchandise Imports (Thousand Dollars)","2020 Jan",41180224
"26","Total Merchandise Imports (Thousand Dollars)","2019 Dec",41580603
"27","Total Merchandise Imports (Thousand Dollars)","2019 Nov",42489886
"28","Total Merchandise Imports (Thousand Dollars)","2019 Oct",42282537
"29","Total Merchandise Imports (Thousand Dollars)","2019 Sep",39450625
"30","Total Merchandise Imports (Thousand Dollars)","2019 Aug",40998179
"31","Total Merchandise Imports (Thousand Dollars)","2019 Jul",42030046
"32","Total Merchandise Imports (Thousand Dollars)","2019 Jun",38979868
"33","Total Merchandise Imports (Thousand Dollars)","2019 May",42637579
"34","Total Merchandise Imports (Thousand Dollars)","2019 Apr",41294888
