,Country,Time,Value (Thousand),Year,Month,Type
50,America ,2022 Jan,5893600,2022,Jan,Import
51,America ,2021 Dec,6261100,2021,Dec,Import
52,America ,2021 Nov,6127400,2021,Nov,Import
53,America ,2021 Oct,6027600,2021,Oct,Import
54,America ,2021 Sep,5631600,2021,Sep,Import
55,America ,2021 Aug,5750100,2021,Aug,Import
56,America ,2021 Jul,5728600,2021,Jul,Import
57,America ,2021 Jun,5457400,2021,Jun,Import
58,America ,2021 May,5191800,2021,May,Import
59,America ,2021 Apr,6195900,2021,Apr,Import
60,America ,2021 Mar,5303500,2021,Mar,Import
61,America ,2021 Feb,4164200,2021,Feb,Import
62,America ,2021 Jan,4580000,2021,Jan,Import
63,America ,2020 Dec,4676400,2020,Dec,Import
64,America ,2020 Nov,4588200,2020,Nov,Import
65,America ,2020 Oct,4869700,2020,Oct,Import
66,America ,2020 Sep,4886400,2020,Sep,Import
67,America ,2020 Aug,4132000,2020,Aug,Import
68,America ,2020 Jul,4667300,2020,Jul,Import
69,America ,2020 Jun,4686200,2020,Jun,Import
70,America ,2020 May,4259000,2020,May,Import
71,America ,2020 Apr,5183500,2020,Apr,Import
72,America ,2020 Mar,5910800,2020,Mar,Import
73,America ,2020 Feb,5314100,2020,Feb,Import
74,America ,2020 Jan,5844100,2020,Jan,Import
75,America ,2019 Dec,5686400,2019,Dec,Import
76,America ,2019 Nov,6274700,2019,Nov,Import
77,America ,2019 Oct,5754500,2019,Oct,Import
78,America ,2019 Sep,5633100,2019,Sep,Import
79,America ,2019 Aug,6128800,2019,Aug,Import
80,America ,2019 Jul,5986200,2019,Jul,Import
81,America ,2019 Jun,5876400,2019,Jun,Import
82,America ,2019 May,5797300,2019,May,Import
83,America ,2019 Apr,6128000,2019,Apr,Import
84,America ,2019 Mar,5528700,2019,Mar,Import
85,America ,2019 Feb,5381100,2019,Feb,Import
86,America ,2019 Jan,5543600,2019,Jan,Import
87,America ,2018 Dec,6184600,2018,Dec,Import
88,America ,2018 Nov,6013900,2018,Nov,Import
89,America ,2018 Oct,6409900,2018,Oct,Import
90,America ,2018 Sep,5466500,2018,Sep,Import
91,America ,2018 Aug,6031700,2018,Aug,Import
92,America ,2018 Jul,5590700,2018,Jul,Import
93,America ,2018 Jun,5961200,2018,Jun,Import
